Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.62 Pa
Altitude :    -12.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.62 Pa
Altitude :    -12.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
Temperature : 0.00 C
Pressure :    -2.59 Pa
Altitude :    -11.00 h
0.00,-2.56,-10.00
0.00,-2.59,-11.00
0.00,-2.59,-11.00
0.00,-2.62,-12.00
0.00,-2.62,-12.00
0.00,2.75,16.00
0.00,2.75,16.00
0.00,2.72,15.00
0.00,2.75,16.00
0.00,2.75,16.00
25.00,1011.00,16.00
25.00,1011.00,16.00
25.00,1011.00,16.00
